geneid	JP6pm	JP8pm	JP10pm	JPMid	JP2am	JP4am	JP6am	JP8am	JP10am	JPnoon	JP2pm	JP4pm
TRINITY_DN25049_c0_g2	0.03	0.12	0.06	0.22	1.19	6.16	20.12	30.02	20.09	2.53	1.77	0.35
TRINITY_DN36275_c3_g3	0	2.34	2.46	9.07	0	4.06	0	0	0	0	0	0
TRINITY_DN50566_c0_g1	0	0	12.99	0	0	19.82	0	0	0	0	0	0
TRINITY_DN42833_c0_g1	0	0	0	0	0	0	0	0	0	0	0	22.97
TRINITY_DN30773_c3_g1	5.69	6.31	5.34	6.31	5.91	5.55	5.39	2.21	2.85	5.17	4.98	5.14
TRINITY_DN24891_c0_g1	15.87	11.39	10.21	8.55	7.39	7.22	8.07	6.12	5.71	9.11	9.18	13.03
TRINITY_DN949_c0_g1	5.65	6.73	6.12	5.87	3.52	3.81	3.59	3.87	4.41	3.54	5.32	5.25
TRINITY_DN26526_c4_g3	20.35	18.82	17.46	20.92	17.91	16.22	14.77	17.61	18.05	22.37	23.91	31.69
TRINITY_DN58271_c1_g1	0	115.35	0	0	0	0	0	0	0	0	0	0
TRINITY_DN20830_c0_g1	1.53	1.46	1.79	2.87	2.65	1.63	1.45	0.27	1.32	1.66	1.21	1.36
TRINITY_DN15875_c0_g1	1.25	3.24	4.06	3.42	2.81	3.7	3.93	3.6	2.04	1.17	1.46	0.66
TRINITY_DN26631_c2_g8	3.76	3.09	1.21	2.12	1.22	0.88	0.59	0.65	1.17	0.84	1.87	2.61
TRINITY_DN26631_c2_g4	4.08	3.29	2.88	2.59	2.4	0.94	1.35	1.08	1.17	1.2	2.33	3.73
TRINITY_DN26631_c2_g3	0	0	0	0	0	24.44	24.14	0	0	11.73	26.3	11.41
TRINITY_DN21124_c0_g2	27.11	25.87	23.04	23.41	20.29	17.65	16.76	22.13	23.81	26.96	32.6	37.62
TRINITY_DN26147_c0_g1	32.06	28.66	29.07	28.19	22.99	21.75	20.42	22.12	26.25	31.26	36.92	37.79
TRINITY_DN35967_c3_g7	7.69	13.77	12.33	27.69	19.24	22.68	32.59	26.37	19.73	32.06	21.51	12.49
TRINITY_DN35179_c0_g1	3.91	4.55	5.57	4.83	4.29	6.31	3.92	3.51	3.28	2.71	3.87	2.32
TRINITY_DN21899_c0_g2	0	0	4.75	3.09	0	0	2.33	6.73	0	0	0	2.73
TRINITY_DN24652_c0_g4	2.03	3.19	0.94	2.58	0.78	0	0.77	0.45	0.16	1.71	1.58	0.91
TRINITY_DN36037_c1_g2	11.3	15.59	15.75	18.58	12.85	15.06	13.78	9.17	12.3	14.15	13.45	10.87
TRINITY_DN30865_c0_g1	6.01	4.86	4.43	3.13	2.77	2.62	2.34	1.4	1.89	3.99	6.32	7.67
TRINITY_DN24304_c0_g1	2.92	3.33	3.6	5.63	6.66	4.15	4.7	6.2	3.42	3	4.09	3.5
TRINITY_DN20634_c0_g1	24.34	27.15	29.12	27.11	20	28.94	25.77	30.76	32.32	25.66	27.95	22.24
TRINITY_DN35855_c3_g3	25.07	17.05	8.34	9.78	6.28	4.88	3.34	1.56	1.92	4.91	7.92	10.06
TRINITY_DN35855_c3_g4	2.68	4.61	0	1.48	3.11	5.33	6.93	1.17	3.16	0	1.78	2.67
TRINITY_DN49322_c0_g1	0	20.24	0	0	0	0	0	0	0	0	0	0
TRINITY_DN31631_c0_g1	26.48	32.13	28.97	28.39	23.79	23.08	19.02	21.22	16.25	19.85	19.09	22.58
TRINITY_DN29355_c0_g1	14.34	10.45	8.79	8.2	5.73	5.07	4.87	12.92	11.62	15.95	14.6	24.66
TRINITY_DN11902_c0_g1	1.86	4.53	4.8	4.86	3.85	2.75	7.45	3.63	6.48	3.21	1	1.93
TRINITY_DN21399_c1_g1	88.83	152.54	169.91	203.91	215.4	175.57	116.18	80.63	87.97	71.29	76.55	87.33
TRINITY_DN35950_c3_g4	36.01	54.3	70.52	22.36	51.81	16.67	5.57	15.26	26.59	26.85	6.6	52.61
TRINITY_DN25409_c0_g1	5.69	7.48	5.67	7.81	6.88	6.15	6.38	5.55	10.42	6.28	6.67	8.55
